-395	-170	3684	-63	666	71
-402	-155	3914	-31	758	225
-395	-262	3973	-48	820	302
-529	-482	4218	-108	921	333
-716	-630	4543	-122	811	276
-794	-534	4507	-59	458	348
-992	-487	3923	-38	-92	330
-1200	-291	3271	-69	-321	152
-1733	-66	2964	-101	-194	413
-2029	215	3499	135	178	768
-1262	374	3742	406	633	1151
-481	-9	4671	379	1011	1256
-838	-535	5742	337	857	722
-1166	-596	5879	449	608	-10
-1083	-325	4941	717	444	-355
-896	-170	4188	820	494	-441
-805	-65	3729	875	394	-503
-573	49	3150	893	122	-416
-328	-55	2521	878	59	-319
-73	-13	2223	753	258	-405
-233	167	2642	504	552	-454
-412	553	3553	242	562	-348
-560	946	4659	8	308	-50
-636	894	5500	-150	-66	135
-264	473	6067	-242	-143	-8
-269	23	6517	-121	-512	-17
-424	-394	6178	88	-1287	-46
-62	-451	5099	244	-1766	-240
-76	-422	4282	165	-1542	-639
-1580	321	3907	-151	-1177	-844
-2589	554	2788	-3	36	-769
-2934	809	3550	115	807	-1110
-3361	141	4511	252	566	-357
-3442	-857	5337	439	9	-137
-2527	-488	5219	622	-548	-96
-1742	419	4524	510	-332	35
-1403	1378	4354	-106	236	-220
-965	1208	3989	-887	453	-1
-861	246	4018	-1357	576	107
-960	-54	3811	-1629	-182	-96
-751	82	2932	-1659	-1006	-269
-444	170	1938	-1441	-1555	-146
-167	290	909	-1211	-1615	-14
31	487	369	-877	-955	589
-99	-151	1034	-565	425	1103
-840	-707	2797	-31	807	844
-664	-694	3556	402	121	995
-196	-985	3910	718	45	1573
59	-1246	4838	680	309	1279
-244	-1133	5953	401	409	463
-412	-1090	6959	473	-134	-17
129	-147	6277	261	-968	-495
-1178	-30	5615	-32	-1619	-287
-2942	-186	2969	323	-2241	324
-4025	-292	1173	233	-48	795
-3241	672	3668	-189	2218	1531
-3578	861	7219	-370	1436	801
-3350	858	8116	-303	-403	-743
-2057	63	6488	159	-1385	-662
-1034	-798	3959	874	-1295	-491
-427	-1433	2530	1524	-347	-495
-103	-1326	2181	1745	588	-436
-492	-990	2560	1355	1300	-1193
-814	-77	3111	1080	888	-1919
-732	535	2957	1014	-340	-1843
-223	855	2068	1055	-1148	-1495
106	917	1501	808	-896	-1011
-37	508	1834	305	-137	-374
-245	131	2834	-54	19	-259
-267	-35	3729	-266	-368	-624
-261	214	4253	-321	-804	-1083
-596	348	4384	-302	-879	-1352
-564	707	4931	-331	-522	-1141
-451	896	5125	-180	-950	-587
-965	706	4905	1	-899	-162
-2607	66	4442	48	-518	-762
-3179	878	3916	805	1000	-366
-2029	333	5459	1469	1670	760
-3663	-965	7246	995	591	870
-3195	-468	6920	718	-1241	189
-1664	1648	4456	336	-1644	269
