-1213	41	3996	19	190	-103
-1218	101	3969	6	85	-129
-1185	141	3853	-7	35	-118
-1132	161	3814	-27	65	-86
-1097	107	3910	-18	113	-73
-1112	31	4003	19	124	-62
-1131	32	4026	36	78	-83
-1081	87	3904	31	31	-108
-1049	158	3746	14	95	-68
-1061	184	3717	12	234	-17
-1099	166	3816	4	311	-15
-1133	148	3904	-1	304	-22
-1110	100	4005	34	259	-11
-1132	67	4054	76	187	31
-1106	62	3965	62	102	44
-1116	60	3762	20	69	34
-1108	26	3589	7	180	8
-1115	-44	3490	6	330	-54
-1173	-247	3470	-3	412	-220
-1099	-429	3470	-4	557	-453
-1016	-431	3747	65	779	-542
-1105	-335	4089	121	822	-619
-1084	-278	4261	149	751	-683
-968	-87	4254	134	663	-725
-981	294	4183	44	579	-708
-905	602	3892	-49	577	-474
-916	569	3832	-178	770	-221
-924	417	3822	-271	848	-57
-970	193	3748	-283	848	86
-930	-114	3702	-259	809	125
-870	-286	3676	-242	869	69
-812	-347	3769	-247	964	-63
-814	-279	3831	-316	1000	-189
-797	-263	3900	-335	1123	-264
-848	-337	4234	-285	1368	-371
-1058	-403	4608	-309	1450	-507
-1293	-464	4725	-474	1374	-672
-1488	-440	4823	-670	1318	-832
-1592	-540	5102	-728	1053	-852
-1436	-440	5283	-669	1236	-655
-1751	-648	5783	-341	1099	-187
-1208	-336	5249	1	-18	268
-942	-27	3957	6	-633	645
-688	252	2612	-81	-969	993
-322	461	1561	-121	-1042	1025
-136	645	1051	-36	-1268	1030
-874	989	740	443	-1742	1656
-2462	-70	504	996	-1793	2793
-2860	-1233	86	618	-151	754
-1522	-615	2783	-101	2758	-818
-704	1666	7362	-465	4003	-525
-3478	1196	10929	432	3251	1046
-4779	188	12791	834	348	1745
-2316	-739	9164	769	-1643	708
-1334	247	6230	833	-1393	780
-805	1350	4899	1202	69	1593
-510	1663	5204	1207	943	2006
-494	763	4978	801	544	1940
-719	-501	3670	265	-663	1338
-633	-940	1868	-373	-2359	864
-327	-1464	296	-762	-4097	195
-259	-915	-132	-686	-5161	-867
-600	-574	-418	-1362	-5400	-1448
-1157	-293	-689	-1410	-4123	-1588
-4302	1224	-1653	-75	-1190	-596
-2110	224	-2756	162	3303	521
-802	-865	3632	997	7819	-715
-3081	28	8710	498	8015	-1119
-6587	553	13319	-156	4872	-1435
-4801	1308	13173	-711	-529	-1764
-2427	524	7919	-925	-3144	-1445
-782	-229	4597	-1030	-1866	-1846
