-1565	39	3772	4	58	105
-1549	36	3733	-1	11	103
-1526	33	3693	3	15	92
-1397	-36	3743	212	80	-100
-1397	-36	3743	212	80	-100
-1397	-36	3743	212	80	-100
-1397	-36	3743	212	80	-100
-1397	-36	3743	212	80	-100
-1397	-36	3743	212	80	-100
-1397	-36	3743	212	80	-100
-1383	30	3756	226	111	-148
-1432	111	3817	235	131	-146
-1428	145	3863	235	135	-140
-1470	217	3887	214	111	-113
-1565	343	3800	196	40	-16
-1577	373	3602	181	21	111
-1468	204	3485	156	122	92
-1407	3	3663	146	249	-70
-1496	-175	3955	212	246	-269
-1616	-97	4201	325	133	-432
-1541	219	4147	452	-48	-410
-1418	427	3975	524	-175	-252
-1346	486	3792	554	-185	-195
-1362	543	3673	521	-161	-128
-1350	417	3487	450	-68	-90
-1384	380	3455	417	129	-100
-1462	391	3517	412	270	-73
-1489	403	3526	419	339	-30
-1483	452	3593	385	373	-27
-1468	493	3627	359	423	-18
-1435	553	3794	332	475	10
-1377	408	3909	332	437	5
-1345	358	3980	376	402	-49
-1263	260	3907	366	258	-129
-1225	288	3841	439	282	-178
-1218	283	3889	471	153	-263
-1057	354	3691	474	75	-305
-919	438	3551	445	265	-331
-980	556	3729	418	377	-287
-1051	620	3814	358	310	-255
-1018	646	3770	259	189	-222
-854	634	3709	108	115	-185
-875	654	3645	-36	75	-180
-891	660	3720	-215	159	-194
-1078	432	4118	-240	332	-235
-1394	51	4558	-66	245	-445
-1539	-312	4762	132	-3	-750
-1529	-341	4945	337	-37	-1081
-1538	115	5149	620	194	-895
-1955	535	5621	761	698	-722
-3041	1755	5760	666	1017	-126
-3761	1320	6155	732	1521	68
-5146	444	6586	476	735	-248
-4958	-621	4537	-101	-369	-1250
-3423	-520	3102	-273	-614	-1728
-2284	185	2249	-360	-478	-1664
-1672	1473	1868	-495	371	-1466
-1439	2112	2336	-752	1485	-682
-1949	1691	3188	-1009	1791	345
-2114	517	3473	-1129	1191	783
-2005	-199	3566	-1219	591	371
-1717	-698	3463	-1270	-137	-201
-1380	-841	2982	-1321	-998	-763
-1107	-509	2370	-1264	-1317	-1025
-970	-320	1773	-1188	-1312	-997
-870	-131	1609	-1168	-812	-1156
-811	206	1828	-949	-33	-975
-1237	70	2822	-726	661	-795
-1763	-280	3956	-815	563	-816
-1893	-735	4581	-848	102	-883
-1789	-773	4876	-841	-648	-919
-1767	-618	4716	-764	-1326	-702
-1814	-640	4239	-578	-1742	-485
-1768	-750	3733	-333	-1695	-445
-1555	-509	3508	-167	-1025	-337
-1811	-153	3589	127	-98	243
-2689	-6	3756	124	508	733
-3401	-582	3998	23	1157	905
-2756	-469	4490	-87	679	927
-2687	180	3469	90	-495	1242
-3087	117	2047	476	-773	1793
-2499	18	1901	714	-101	1792
-2167	98	2408	499	448	1595
-1987	-18	3504	302	1102	1231
-2264	-396	4527	320	904	947
-2633	-346	4352	434	451	568
-2713	-33	3761	417	-128	725
-2174	238	3018	371	-201	934
-1800	289	2747	361	333	1331
-1579	233	2928	478	904	1557
-1558	330	3246	578	969	1779
-1722	290	3378	545	493	1742
-1676	407	3319	482	9	1601
-1527	434	3282	351	-331	1405
-1344	464	3272	307	-512	1301
-1277	237	3244	229	-587	1045
-1262	119	3377	117	-624	616
-1345	216	3564	76	-682	403
-1652	183	3732	-2	-739	387
-1759	256	3818	-95	-778	134
-1934	520	4111	-200	-662	-27
-2768	998	4489	-250	-250	45
-3371	347	4773	50	159	-54
-3463	-58	4521	529	366	-329
-3422	-550	4133	499	43	-838
-3165	-797	3296	156	-585	-1109
-2343	-323	2956	-290	-517	-1461
-1973	576	3276	-647	-415	-1366
-1578	1278	3243	-810	-293	-814
-1307	1609	3115	-861	161	0
-2045	1219	3416	-880	481	828
-2156	309	3502	-887	189	1026
-1887	-173	3401	-1040	-93	589
-1577	-537	3139	-1068	-358	287
-1349	-891	2711	-1029	-670	-38
-1061	-1019	2178	-988	-691	-459
-917	-944	1925	-911	-287	-919
-869	-382	2041	-719	208	-1116
-877	30	2656	-590	713	-1010
-1143	94	3554	-456	935	-881
-1499	168	4480	-490	524	-830
-1544	24	4819	-550	-295	-516
-1424	-443	4462	-551	-767	-343
-1309	-1146	4306	-521	-794	-610
-1608	-921	4407	-310	-566	-966
-1722	-287	4597	19	-325	-647
-1797	371	4804	269	-63	-55
-2763	444	4358	277	48	323
-2959	-606	3689	-22	382	408
-2316	-906	4028	-186	1163	289
-1541	-203	3754	-103	349	-134
-1676	-427	3900	-156	394	-231
-1633	-590	4044	-176	252	-499
-1546	-592	4053	-191	86	-779
