-1601	-235	3961	-187	-644	-382
-1481	-22	3779	-146	-709	-419
-1421	104	3564	-106	-633	-327
-1457	162	3468	-89	-463	-223
-1498	188	3466	-99	-289	-87
-1478	208	3512	-115	-138	90
-1484	184	3642	-125	-75	251
-1518	144	3734	-151	-62	340
-1533	37	3835	-180	-100	377
-1483	-15	3793	-208	-157	366
-1508	-81	3793	-216	-136	385
-1497	-94	3749	-218	-115	433
-1448	-91	3714	-219	-62	491
-1418	-100	3693	-218	-32	515
-1448	-168	3674	-198	-18	493
-1529	-320	3602	-178	17	377
-1414	-290	3595	-146	130	283
-1331	-342	3606	-123	262	222
-1389	-379	3675	-69	341	146
-1454	-448	3712	-11	332	7
-1448	-390	3712	25	335	-79
-1406	-244	3760	42	431	-9
-1386	-39	3855	68	564	196
-1515	-38	4099	74	567	299
-1651	-105	4243	75	324	291
-1566	-172	4026	60	78	246
-1450	-214	3798	29	81	189
-1432	-366	3674	17	220	12
-1466	-356	3652	11	350	-220
-1511	-260	3696	21	432	-313
-1588	-198	3736	39	433	-327
-1637	-119	3669	69	378	-288
-1652	-3	3535	99	379	-184
-1602	7	3401	128	488	-117
-1626	11	3396	145	628	-88
-1698	55	3405	152	696	-25
-1768	148	3317	131	708	64
-1800	234	3180	95	744	177
-1738	241	3022	41	778	287
-1623	242	2773	-69	866	351
-1420	171	2417	-161	991	435
-1247	-3	2098	-212	1052	411
-952	-314	1808	-59	1060	255
-813	-670	1922	223	1078	-22
-752	-948	2420	444	712	-336
-849	-100	2640	410	-10	-442
-1179	625	2693	377	-316	77
-1306	906	3108	238	-156	161
-1499	1112	4146	109	-105	699
-1922	657	5270	261	-37	1751
-2311	-6	6544	503	-386	1866
-2852	-231	7262	184	-721	831
-3847	-1	8161	-299	-773	-121
-4892	144	9179	-146	-735	128
-4555	-428	9780	130	-486	-204
-4814	-365	10928	-144	329	-971
-5512	771	12161	-636	201	-1184
-5406	1597	11791	-811	-690	-1271
-5261	1361	8530	-573	-1033	-1437
-4148	682	3795	-436	361	-1366
-1651	-666	2143	-179	901	-932
405	-837	2021	350	1689	238
-1073	-1359	2523	500	-121	1332
-4576	-1345	1544	1179	-6677	1046
-3456	-863	-1745	-687	-8484	-342
-3517	687	-639	-361	-7731	-1714
1511	789	-3636	-117	-9148	-3415
3310	2144	-6380	1301	-5027	-2778
2310	3086	-5652	414	1430	790
786	-32	-1728	-47	5196	2468
307	-1308	624	446	5454	1836
-224	-1152	1293	397	4337	405
-276	-783	1055	-606	2461	-672
-868	-309	1138	17	2464	-801
-1149	303	1170	286	1012	-743
-1137	738	1046	285	-366	-797
-423	572	246	339	-1566	-384
276	392	-49	855	-1790	22
368	889	58	852	-1740	493
-701	1472	-327	48	-812	1495
-3801	-759	-180	-621	-197	2519
-4706	-570	-1720	490	5297	1237
309	41	6660	300	12552	-893
-11392	-334	19633	284	11983	465
-10936	459	20529	-591	304	-393
-4021	-351	11421	-72	-5217	-672
-1201	317	5053	487	-4861	-533
-936	179	2563	498	-1828	-1116
-1880	645	2777	15	521	-1113
-1563	670	4356	139	2288	-506
-2280	316	6380	435	1893	232
-2990	7	5972	358	8	163
-2343	-82	4318	41	-991	-473
-1718	-11	3317	-197	-956	-795
-1457	124	3007	-301	-675	-716
-1423	244	3001	-272	-453	-379
-1461	173	3048	-111	-344	-122
-1479	69	3144	46	-335	-23
-1498	92	3159	136	-375	65
-1530	248	3066	152	-336	165
-1619	419	3080	99	-256	293
-1604	399	3183	-6	-127	281
-1594	342	3429	-46	-90	293
-1682	120	3709	-67	-211	264
