-1957	496	3483	-312	-86	-81
-1844	524	3528	-313	-34	-79
-1814	593	3597	-223	74	66
-1804	634	3744	-183	111	223
-1747	597	3828	-233	65	281
-1617	357	3842	-305	-110	199
-1630	226	3750	-352	-256	24
-1659	164	3615	-354	-339	-105
-1682	243	3593	-339	-320	-171
-1706	438	3726	-327	-229	-121
-1655	598	3887	-328	-219	4
-1604	656	3899	-345	-328	142
-1586	534	3710	-362	-451	223
-1457	345	3521	-358	-471	270
-1367	223	3408	-315	-469	281
-1515	170	3375	-257	-401	312
-1747	157	3361	-204	-277	277
-1790	193	3457	-142	-148	263
-1795	239	3695	-104	-97	299
-1961	187	3792	-168	-92	336
-1947	-89	3868	-343	-105	146
-1597	-203	3875	-522	-203	-124
-1379	-184	3832	-680	-239	-241
-1249	-60	3868	-745	-239	-171
-1216	-5	3884	-730	-201	-40
-1286	64	3926	-626	-110	132
-1254	81	3910	-497	-128	377
-1268	52	3759	-479	-20	528
-1288	-107	3751	-507	97	508
-1185	-279	3831	-483	90	358
-1082	-373	3840	-408	75	177
-1053	-77	3785	-284	-89	28
-1053	-77	3785	-284	-89	28
-999	90	3584	-260	-172	147
-910	222	3395	-253	-255	372
-809	383	3212	-243	-227	688
-837	432	3092	-271	-221	1008
-769	438	2943	-272	-280	1286
-581	221	2814	-195	-433	1495
-525	-174	2645	-91	-672	1577
-426	-580	2432	3	-866	1491
-406	-720	2367	169	-741	1287
-371	-957	2639	387	-460	1009
-421	-1019	3275	521	-419	561
-817	-739	3561	485	-683	432
-952	-466	3589	458	-814	475
-1574	-70	3666	398	-968	568
-2736	403	3496	181	-862	683
-2974	899	3733	32	288	1307
-3419	250	5167	-265	104	735
-2872	202	5980	-418	-75	-548
-1783	-17	7315	-147	-651	-1000
-2252	537	7056	-241	-1226	-1220
-1686	447	5400	7	-1172	-1102
-733	1169	3953	333	-313	-717
-952	2138	4012	93	1189	-85
-1345	1664	4525	-1	1265	702
-1457	948	4115	60	766	1068
-1345	303	3608	150	627	1080
-1088	-185	3228	313	627	828
-899	-254	2990	382	662	414
-759	-164	2915	248	755	75
-750	-68	2980	107	667	-128
-701	93	2997	-16	432	-261
-517	-2	3003	-185	132	-303
-320	-177	3283	-435	-43	-451
-234	-27	3423	-561	-397	-569
-291	295	3443	-705	-591	-526
-623	366	3805	-807	-1112	-658
-640	443	3426	-894	-2195	-882
-151	116	2505	-841	-2197	-1157
104	216	2229	-536	-1101	-1136
-441	574	2863	-375	255	-473
-1867	917	4226	-94	460	86
-2967	-678	4608	344	232	135
-3577	60	5343	569	268	-787
-2965	578	5816	580	-208	427
-1949	168	5234	200	-773	669
-1803	-355	5732	-21	-868	-63
-2755	-396	6188	207	-869	-346
-1209	157	5023	336	-861	-295
-503	57	3741	261	221	162
-1399	-383	4120	36	1229	-61
-1714	-633	4522	-259	989	-736
-1591	-579	4017	-366	364	-1059
-1215	-141	3234	-285	363	-1077
-950	224	2856	-188	815	-687
-867	205	2936	-118	1159	-453
-953	230	3167	-4	1050	-201
-976	262	3305	87	660	126
-672	255	3391	170	278	396
-468	243	3499	308	-10	575
-510	102	3598	439	-435	675
-596	-247	3462	591	-1036	696
-474	-605	2824	711	-1444	568
-411	-714	2350	761	-1258	452
-272	-483	2331	702	-593	541
-224	-609	3015	629	357	469
-957	-801	4127	508	573	26
-1503	-784	4490	409	-374	-279
-1393	-182	3967	330	-1176	-348
-1747	672	3436	182	-1276	44
-1989	972	2971	15	131	835
-2182	1458	4398	-233	833	934
-3274	942	5400	-393	-4	683
-2463	-459	5531	-478	-550	-217
-1230	-687	6530	-253	-837	-787
-2207	178	7106	-308	-832	-1027
-1384	345	6097	-81	-994	-1634
-637	1325	4608	263	-913	-1581
-622	1901	3991	312	-392	-922
-562	1558	3394	260	-261	-51
-742	941	2706	179	-177	537
-503	209	2118	96	493	532
-361	-259	2302	95	1498	88
-497	-302	3024	152	1970	-393
-828	-478	3850	171	1756	-799
-990	-585	4483	185	947	-1231
-897	-426	4559	80	-177	-1556
-816	172	4041	-60	-1308	-1546
-573	699	2897	-325	-1898	-1429
-276	1070	2230	-456	-1777	-1178
